weight logl sigma l k
0.000000000000000000e+00 -2.858103586584833010e+03 5.910087779368822236e-02 5.789276377433706378e-01 4.622608331735242881e-01
0.000000000000000000e+00 -2.735104588919305570e+03 1.260420735800873437e-01 4.562853990555656436e-01 8.998379280832480287e-01
0.000000000000000000e+00 -2.724946788786229263e+03 5.106506626027185192e-02 8.582898680153439042e-01 5.419263963326627076e-01
0.000000000000000000e+00 -2.696596680153911166e+03 1.618701558617697822e-01 8.525451392072088685e-01 6.291657229101388360e-02
0.000000000000000000e+00 -2.667609046221994504e+03 1.314801915455930947e-01 9.791841703253879592e-01 9.084175979959265845e-01
0.000000000000000000e+00 -2.663951344476497979e+03 9.666009657511909214e-02 3.079022882364013114e-01 8.154323114889925339e-01
0.000000000000000000e+00 -2.618871895322141427e+03 5.004557126925579524e-02 5.728091686875981248e-01 6.221466617754055628e-01
0.000000000000000000e+00 -2.610627706874652631e+03 1.330439006987306216e-01 1.139378251494576055e-01 9.094133411200352457e-01
0.000000000000000000e+00 -2.562694249092139216e+03 1.712568562677765360e-01 7.016376537486417320e-01 4.815545187255820814e-02
0.000000000000000000e+00 -2.506032615144576539e+03 3.909966370950601622e-02 4.676709378507326598e-02 5.631746163815589679e-01
0.000000000000000000e+00 -2.491427401333283342e+03 1.507307167335223408e-01 4.376377531835571322e-01 1.177706386027183028e-01
0.000000000000000000e+00 -2.348391432765605259e+03 5.642338570002658482e-02 3.606858774431263015e-01 6.395765346831588927e-01
0.000000000000000000e+00 -2.345024653852818119e+03 1.213803538060331810e-01 6.402898215613491706e-01 8.532588502085949322e-01
0.000000000000000000e+00 -2.300217990210580410e+03 1.359355179611423381e-01 3.435724315408221763e-01 8.856404697153826833e-01
0.000000000000000000e+00 -2.294355626743541961e+03 1.714004028935608437e-01 8.865476168087059738e-01 7.723820244152268533e-02
0.000000000000000000e+00 -2.277180372778742367e+03 6.727062194791622041e-02 1.472183511944102907e-01 6.924905470225504178e-01
0.000000000000000000e+00 -2.264221960939888504e+03 1.748361284695723050e-01 9.630130849183079489e-01 7.090788087829769104e-02
0.000000000000000000e+00 -2.253047791729793062e+03 1.925553551424953325e-01 7.366366958547315713e-01 2.285764338272566754e-02
0.000000000000000000e+00 -2.244637264626566775e+03 1.007727575893837546e-01 7.503062634965120825e-01 7.911767705671169937e-01
0.000000000000000000e+00 -2.200461690397529310e+03 7.864834545075116701e-02 2.942884810858416023e-01 4.089197480913421279e-01
0.000000000000000000e+00 -2.194080031236072955e+03 6.824394983474568743e-02 3.315364326804818296e-01 6.870630795916623512e-01
0.000000000000000000e+00 -2.145067917338372354e+03 1.843749683470350398e-01 9.160134255816025917e-01 5.869118464384004419e-02
0.000000000000000000e+00 -2.121085569488375768e+03 1.330563638540256388e-01 5.924634636863067572e-01 8.605019464960278475e-01
0.000000000000000000e+00 -2.099800741026186643e+03 6.549512487683606388e-02 9.945912681828115165e-01 6.616927973245929628e-01
0.000000000000000000e+00 -2.079311181723776826e+03 6.264728849269718403e-02 2.647435859257991630e-01 5.291637213228679304e-01
0.000000000000000000e+00 -2.054088891127862098e+03 6.128262268347728359e-02 5.558015501631975441e-01 5.534627098399484968e-01
0.000000000000000000e+00 -2.036805814150229708e+03 1.665778215791176020e-01 7.636332696918546326e-02 9.689441516822390188e-01
0.000000000000000000e+00 -1.986966741152594295e+03 7.039254341542156013e-02 4.688217531654559345e-01 6.701651142926019489e-01
0.000000000000000000e+00 -1.969616219891437140e+03 1.158297963502118444e-01 3.608210915219373094e-01 8.028668757910842890e-01
0.000000000000000000e+00 -1.955581544565922968e+03 6.303871353685863710e-02 1.854029886087625867e-01 6.079614911777567743e-01
0.000000000000000000e+00 -1.893944317653195867e+03 1.671010395673030446e-01 3.122202713255900486e-01 1.368885480715984482e-01
0.000000000000000000e+00 -1.856327538888737536e+03 1.880666873243501680e-01 5.383793037201735077e-01 8.655875315647931778e-02
0.000000000000000000e+00 -1.833068588451674259e+03 7.669074279836352037e-02 1.338307139634030696e-01 4.610249466708555843e-01
