sigma l k
4.159981305406492136e-01 3.923277079711914306e-01 -6.149123412897905538e-02
3.421086160339089077e-01 4.395571803115753129e-01 -6.995479596146580992e-02
3.663648584698142585e-01 4.747473536702237484e-01 4.247295912732562684e-02
4.345367417631170737e-01 3.908974117590458541e-01 -1.388889051901442961e-02
3.098973145430222176e-01 4.545423379822087773e-01 6.775585120532534589e-02
3.625980848921292465e-01 3.930699696191383707e-01 -4.004758390260809708e-02
3.276615424302714574e-01 4.536695062001931955e-01 8.480378746240080368e-02
3.421713569402101696e-01 4.218803454324090985e-01 -1.028402540400419340e-02
3.231627985510918122e-01 4.296156150025090548e-01 2.613101285117136463e-02
3.439274228458194527e-01 4.132720372622376015e-01 -1.886991881596566945e-02
3.435172677111086315e-01 4.113234830167912248e-01 1.285573489889284549e-01
3.541860008018463679e-01 4.079151985145648696e-01 6.673490107207391553e-02
3.987497355816588818e-01 3.815808460241344457e-01 9.130039058379280092e-03
3.506018367179188910e-01 4.429647861767907480e-01 2.415178301642195713e-02
3.882895526611485071e-01 3.795590040167800550e-01 9.556053084814197796e-02
3.543169953444192943e-01 4.172914740076731910e-01 5.200298701147731961e-02
3.418058787902152340e-01 4.244317152404678550e-01 -4.246209679157419981e-02
3.172448955296339190e-01 4.011440192947937078e-01 1.413039875520076816e-01
3.570905875045783939e-01 3.939817988622883460e-01 1.131332428602305207e-02
2.968195389523913819e-01 4.071790009051223791e-01 3.470002599755872552e-02
2.956169939620427733e-01 3.979172455391454810e-01 9.867811903202161616e-02
3.827039197157036665e-01 4.201719327648729685e-01 5.749524361256197480e-03
4.106900689983139507e-01 3.869719017030793795e-01 -9.357912625594366762e-02
3.555988843795632182e-01 4.147428845435495726e-01 4.871800282915672575e-02
3.493667171971791552e-01 3.982776754187001278e-01 -7.536853922247011006e-03
3.713135770586221129e-01 3.908042271584973859e-01 -7.503562619424863911e-03
3.331867413010248802e-01 4.196153695660954086e-01 1.118071673330622851e-01
3.622264640907688071e-01 4.246146250312228254e-01 2.833823192000695101e-02
3.419677261138190372e-01 4.152125648889269938e-01 5.986176053785419171e-02
3.383851495389713637e-01 3.921136642858968346e-01 1.009048207233564920e-01
3.417429226676382270e-01 4.312572052191270822e-01 -3.370361655385245570e-02
4.483121234564545476e-01 3.979514487700818171e-01 1.780754301141707074e-02
3.767260040392504949e-01 3.950518163521505866e-01 3.506136965968886798e-02
3.139079225439730392e-01 4.486345551411682897e-01 -1.225244955984772233e-02
3.587170348449604806e-01 3.815065673640985477e-01 3.562844209878068824e-03
3.022573447690489745e-01 4.227141010467696525e-01 7.818964123648797226e-02
3.515411570884560688e-01 4.233083412158672454e-01 4.348717403246737945e-02
3.324590029918550460e-01 4.467918539781793319e-01 9.128833103480671340e-03
3.493745522883358046e-01 4.188593646685428440e-01 -4.659785416633921429e-02
3.351259818375795785e-01 4.033104135340355167e-01 1.999082078903513526e-02
3.317303074235967153e-01 4.174571272231522023e-01 -1.258051212450062017e-02
3.482386812799423970e-01 4.108967884405528292e-01 2.498128228783347282e-02
3.350694224776640806e-01 4.010087234384759891e-01 -9.365479046655500461e-02
3.557657075918553291e-01 4.246314974601542169e-01 -4.567214510888883972e-02
3.483732234597875510e-01 3.903194164723258197e-01 -1.068416054270326931e-02
3.868952973074368251e-01 4.248268714105273292e-01 1.559882078847607545e-03
3.497592417728805914e-01 3.993279281440469952e-01 3.981361628266233410e-02
3.344321214034829404e-01 4.228978844751875021e-01 -1.310327361452756634e-02
3.989895164934192939e-01 4.244829678217110214e-01 1.107620922178016443e-01
3.722003183556430450e-01 4.174489300644578238e-01 -4.942391353277564292e-02
3.079023376453086103e-01 4.456511971841363717e-01 -2.579100697322078695e-02
4.079646003116210728e-01 3.849053858409766660e-01 -1.098742102226275552e-01
3.566008869467970355e-01 4.213525652409463862e-01 3.457145021012020258e-02
3.566438228147716383e-01 4.148892235142454532e-01 5.058703174480028153e-02
