weight logl sigma l k
0.000000000000000000e+00 -6.899736027045168157e+03 2.328038296582424227e-02 1.691553169856059213e+01 3.700494154595057594e-02
0.000000000000000000e+00 -6.603609172770988152e+03 1.313222594562724055e-02 1.295580989107577707e+01 4.496987728947434704e-01
0.000000000000000000e+00 -6.602732976176169359e+03 9.485866107077056686e-02 1.572002754342729069e+01 -8.369976239452516786e-01
0.000000000000000000e+00 -6.507865877615139652e+03 1.103446378650163595e-02 1.669055891345805165e+01 2.776018543919993586e-01
0.000000000000000000e+00 -6.438758613865661573e+03 9.025963012921334183e-02 1.681768832033100480e+01 -7.764000695531221297e-01
0.000000000000000000e+00 -6.329430365537399666e+03 2.207317843234091193e-02 6.944560163114918971e+00 9.897761750725253549e-02
0.000000000000000000e+00 -6.182322089048549060e+03 4.730027186882079793e-02 1.761749897528562059e+01 -2.621090074140477455e-01
0.000000000000000000e+00 -6.145278976709795643e+03 5.627668750191483493e-02 2.218922122348079284e+00 -3.796592055882843653e-01
0.000000000000000000e+00 -5.914365761721948729e+03 3.332136438316579685e-02 9.647556570976000501e+00 5.711765475886732002e-01
0.000000000000000000e+00 -5.755300130407445067e+03 7.648665918121066998e-02 1.766127600970559897e+01 8.519641050601323151e-01
0.000000000000000000e+00 -5.709640191162904557e+03 1.049025276507692395e-01 1.609486720107626834e+00 -9.225684540004752687e-01
0.000000000000000000e+00 -5.544085539730594974e+03 2.210722196327707945e-02 8.404165685727129187e+00 4.299081052648210388e-01
0.000000000000000000e+00 -5.425548017306545262e+03 9.392707173668668474e-02 1.871229472716434117e+01 9.411219653306819311e-01
0.000000000000000000e+00 -5.252474609945637894e+03 9.096236949374369996e-02 1.013071613929991699e+01 9.047065691997628889e-01
0.000000000000000000e+00 -5.230534713499724603e+03 1.159336942592922304e-01 2.522103709152145878e+00 -9.052888717392681972e-01
0.000000000000000000e+00 -5.219832415120862606e+03 9.337688279306566308e-02 5.422506734901109127e+00 9.177187968536664187e-01
0.000000000000000000e+00 -5.188524001329297789e+03 2.142073029843793996e-02 6.539667519602523349e+00 2.998944494986033327e-01
0.000000000000000000e+00 -5.083896110354562552e+03 6.773873483665182604e-02 1.601165929977366176e+00 7.695861570962467813e-01
0.000000000000000000e+00 -5.036769293037078569e+03 5.130992972407766306e-02 1.399929963657694998e+01 -2.265949082839839868e-01
0.000000000000000000e+00 -5.006903565823758072e+03 8.146346542106142063e-02 2.575465219799251138e+00 8.197668462755425267e-01
