weight logl k
0.000000000000000000e+00 -1.637161059437641234e+05 -1.605521062067549298e+00
0.000000000000000000e+00 -1.627098042765517894e+05 -1.599217153488879273e+00
0.000000000000000000e+00 -1.617662894998662232e+05 -1.593288043548150679e+00
0.000000000000000000e+00 -1.613992277559565555e+05 -1.590976522487175693e+00
0.000000000000000000e+00 -1.610600553582430002e+05 -1.588838187629652676e+00
0.000000000000000000e+00 -1.605581873129979358e+05 -1.585669805271037625e+00
0.000000000000000000e+00 -1.603387086034129607e+05 -1.584282570367497200e+00
0.000000000000000000e+00 -1.600685181580022909e+05 -1.582573443581698935e+00
0.000000000000000000e+00 -1.594932732934236992e+05 -1.578929622535861110e+00
0.000000000000000000e+00 -1.594406510391045886e+05 -1.578595950276653781e+00
0.000000000000000000e+00 -1.590504658363086055e+05 -1.576120027906942944e+00
0.000000000000000000e+00 -1.588325972722107254e+05 -1.574736159776483735e+00
0.000000000000000000e+00 -1.580545663234757958e+05 -1.569786105110770436e+00
0.000000000000000000e+00 -1.571326665659323044e+05 -1.563904188601438872e+00
0.000000000000000000e+00 -1.548117311632896017e+05 -1.549015682229870627e+00
0.000000000000000000e+00 -1.541015180440501135e+05 -1.544436438540853551e+00
0.000000000000000000e+00 -1.537507471643922909e+05 -1.542170694736602510e+00
0.000000000000000000e+00 -1.532054730520691373e+05 -1.538643208997698242e+00
0.000000000000000000e+00 -1.530336943253924255e+05 -1.537530576794888582e+00
0.000000000000000000e+00 -1.529804913742764038e+05 -1.537185841976255851e+00
0.000000000000000000e+00 -1.528749213898386806e+05 -1.536501602760481866e+00
0.000000000000000000e+00 -1.527199571161247150e+05 -1.535496771858891218e+00
0.000000000000000000e+00 -1.526486652616255742e+05 -1.535034316502535301e+00
0.000000000000000000e+00 -1.523521043982225528e+05 -1.533109372720515395e+00
0.000000000000000000e+00 -1.522495815492059919e+05 -1.532443451637617304e+00
0.000000000000000000e+00 -1.517980945343277708e+05 -1.529508089008028371e+00
0.000000000000000000e+00 -1.515708516452331387e+05 -1.528028928455245516e+00
0.000000000000000000e+00 -1.514720660866061517e+05 -1.527385554930896561e+00
0.000000000000000000e+00 -1.509985849079070322e+05 -1.524298795145766938e+00
0.000000000000000000e+00 -1.509034802084390540e+05 -1.523678168699561741e+00
0.000000000000000000e+00 -1.503859594119839312e+05 -1.520297374554675063e+00
0.000000000000000000e+00 -1.497720264205286512e+05 -1.516278831169662222e+00
0.000000000000000000e+00 -1.491469173106963281e+05 -1.512178248434798089e+00
0.000000000000000000e+00 -1.487674607346619014e+05 -1.509684696270540805e+00
0.000000000000000000e+00 -1.485137730183062085e+05 -1.508015757377665356e+00
0.000000000000000000e+00 -1.477203894747955201e+05 -1.502786638798027763e+00
0.000000000000000000e+00 -1.475737657295683166e+05 -1.501818643027160505e+00
0.000000000000000000e+00 -1.474033413770773914e+05 -1.500692883486289375e+00
0.000000000000000000e+00 -1.470922565142320236e+05 -1.498636210405416502e+00
0.000000000000000000e+00 -1.457298281351255719e+05 -1.489601787387373477e+00
0.000000000000000000e+00 -1.456255664959856658e+05 -1.488908593060803032e+00
