sigma l a b
2.008585538675003168e-01 6.445838912164261192e-01 6.604846491200064285e-03 -2.921605951757033637e-02
2.006225659949584239e-01 6.281904830059387157e-01 7.416740834589416465e-03 1.039074078250656896e-03
1.944519501256298522e-01 6.066575403517703302e-01 6.495615708183924419e-03 4.089322328024458386e-02
1.883593683421650178e-01 6.272193844094452464e-01 6.692265319113752109e-03 -6.168933349708805025e-03
1.599520135017575839e-01 6.039864056452401986e-01 7.263942603875070403e-03 1.329559759542808806e-02
1.784219298255159680e-01 6.512390702915126228e-01 6.810399541118415667e-03 -1.309665803610315926e-02
1.758048045976406959e-01 6.702249262238718641e-01 6.926956039409196131e-03 -2.111539841402509943e-02
2.059517500070529583e-01 6.222450757001488642e-01 7.048391071786209994e-03 6.596330705333830480e-03
1.830440333307492007e-01 5.937887082889867774e-01 7.119098228617545820e-03 -3.534720401464408468e-03
1.664790468724854922e-01 6.732529562185294303e-01 7.553515214188302740e-03 2.549346850430200817e-02
1.787316741911841866e-01 6.262812874808597607e-01 6.841425301124262615e-03 3.070272644843319299e-02
1.718366580982276515e-01 5.696158946842341253e-01 7.643100131294801314e-03 -5.286050126695651663e-02
1.758866559646679595e-01 5.316808837508488761e-01 7.437635889310532933e-03 2.247849058521600440e-02
1.670870900517813784e-01 6.970617149589352080e-01 7.207376649189745077e-03 4.127625943177104517e-02
2.364138563614645583e-01 5.289878809517313263e-01 7.596352276683468463e-03 -2.553488074101695204e-02
1.925865903154770353e-01 5.900903939817851995e-01 6.999004655517469808e-03 2.607197017950424467e-02
1.947824007139612457e-01 6.220876650347945125e-01 6.830555162854155815e-03 5.848781721180085214e-02
1.888921860559530375e-01 5.895858179858015635e-01 7.539097494151117407e-03 -1.520675032182317032e-02
1.998107698025917978e-01 5.532810398476915026e-01 7.708835197921724836e-03 -2.421467850358260954e-02
2.011994688867846381e-01 6.703153289211274402e-01 6.390810622922550588e-03 4.044897816905779209e-02
1.939241667364135779e-01 6.346187963975137292e-01 7.547074460917957417e-03 -8.897102341907769940e-03
1.844852265256295976e-01 6.513135931359468334e-01 6.675200067050877928e-03 -1.802021942231069040e-02
1.706884491529172265e-01 6.902855870152281303e-01 7.525458414064746526e-03 -1.273243500848608711e-02
1.652682983712465692e-01 6.156743368787268578e-01 7.045540348303049039e-03 1.680273054093728291e-02
1.680866738997181253e-01 6.264495682884106964e-01 7.315560841453058738e-03 -3.610169031576404564e-03
1.963852804229088977e-01 6.912600924229879151e-01 6.921245810546747257e-03 -1.854798640623989137e-02
1.835442787751549731e-01 7.119103876900850780e-01 7.286857288650708253e-03 2.470510496746136653e-02
1.878167764936940765e-01 6.547744499618854963e-01 7.478915967426925937e-03 1.350944327145331414e-02
1.869147374839977838e-01 6.475023874467293883e-01 7.122223391677839910e-03 1.364748250108593908e-02
2.173946738627555442e-01 6.153724140047095448e-01 7.071566366561143901e-03 -2.005858444410169028e-02
2.099505698925653308e-01 6.390638465365450216e-01 6.794737224523859920e-03 4.248759216570308084e-02
2.054422985563338078e-01 6.145996763008841901e-01 7.365579135689900858e-03 1.312838548104311442e-02
1.942214086182845190e-01 6.592101023601222298e-01 7.898231436871364086e-03 1.859943660401341958e-02
1.932964940423805289e-01 6.801501799979713381e-01 7.077411684187684404e-03 -1.764494596856769348e-02
1.811469116064714224e-01 6.427719736126999983e-01 6.934085061338246536e-03 4.053968841553023950e-02
1.942471508848320205e-01 6.360879496077926909e-01 6.987953602798781250e-03 -1.777185896677435650e-02
