weight logl sigma l a b
0.000000000000000000e+00 -1.867806426891059527e+04 1.143676732239069516e-01 9.904980557692490972e-01 9.439899947221407350e-01 1.730404416238249254e-01
0.000000000000000000e+00 -1.847100930342594074e+04 2.062615711900250837e-03 5.638322668325767006e-01 4.979865488006021135e-01 4.589819210698289353e-01
0.000000000000000000e+00 -1.829999014453256677e+04 1.114009941104429080e-01 5.606470835302523881e-01 8.437566720228908412e-01 7.705113028478969284e-01
0.000000000000000000e+00 -1.805874848010185815e+04 1.436851037458930502e-01 8.250164368092454126e-01 1.451488943835415046e-01 8.391114841460661777e-01
0.000000000000000000e+00 -1.800735921466244690e+04 9.360340596108573941e-02 1.323194802761775701e-01 5.584328868617571828e-01 8.643125123625972073e-02
0.000000000000000000e+00 -1.794292995065901778e+04 7.062309277388356676e-02 2.810043732683623618e-01 8.595585536903276314e-01 2.458705633175338745e-01
0.000000000000000000e+00 -1.789134899760104599e+04 1.629887420112673402e-01 7.584851096290867734e-01 9.915756038094433178e-01 8.119866838413685173e-01
0.000000000000000000e+00 -1.744928925497836826e+04 1.756193963151716497e-01 9.529281317507798388e-01 3.067709071436330870e-02 5.056928322441059942e-01
0.000000000000000000e+00 -1.744435951934845070e+04 1.067750513194448692e-01 7.067272111892538566e-01 2.327953882840002597e-01 4.401742274505218155e-01
0.000000000000000000e+00 -1.679019871449147468e+04 1.580935029524765945e-01 8.818598465367701866e-01 8.281264839295565672e-02 6.305881750229905824e-01
0.000000000000000000e+00 -1.653633631669083843e+04 1.250138208836658604e-01 5.666170896620915665e-01 1.698047772078900008e-01 6.231839065821147550e-01
0.000000000000000000e+00 -1.585394553179607465e+04 9.996161360207345137e-02 1.029145833259146325e-01 9.121911451377152646e-01 4.813381578243012271e-01
0.000000000000000000e+00 -1.579665969176648468e+04 1.158827882789621455e-01 9.672609288942124461e-01 2.155456663840428222e-01 4.799367896182687998e-01
0.000000000000000000e+00 -1.571562821934226486e+04 9.668034035053973962e-02 5.149256738582582704e-01 7.747305605612579971e-01 1.011952149858336147e-01
0.000000000000000000e+00 -1.564493398164241989e+04 1.336930939032754395e-01 6.334189893802726345e-01 9.939853029507592641e-01 3.878293346423096200e-01
0.000000000000000000e+00 -1.527286962731262429e+04 1.960951173550651294e-01 3.398807427928591807e-01 1.125340023670179379e-01 9.668657759893647397e-01
0.000000000000000000e+00 -1.485355264375325896e+04 2.098824264092338243e-01 2.470853661183025629e-01 9.027048211093202656e-02 1.432967807066227728e-01
0.000000000000000000e+00 -1.436265148077523372e+04 6.917199071088619977e-02 6.620361253330400153e-01 8.389072104099903893e-01 3.310072804382419021e-01
0.000000000000000000e+00 -1.435903376000952812e+04 1.928398936113908668e-01 1.610216371061131690e-01 1.467089103020906560e-01 9.691045625388643447e-01
0.000000000000000000e+00 -1.421052089729358886e+04 5.731515805341225178e-02 8.139404339103206709e-01 4.675177185744339159e-01 3.354317314424267726e-01
0.000000000000000000e+00 -1.418944925984501424e+04 8.133819359817739958e-02 3.676584011184655942e-01 8.144893545978975080e-01 2.039541404721419982e-01
0.000000000000000000e+00 -1.379768826418925164e+04 3.739238941340905509e-02 7.707764967733845562e-01 4.002225607629579240e-01 6.161992891702845476e-01
0.000000000000000000e+00 -1.376629142710135602e+04 1.623650437408158398e-01 1.130606132233126226e-01 1.470459706919289289e-01 7.835312793944682053e-01
0.000000000000000000e+00 -1.375534191520583590e+04 1.839687950843688080e-01 6.606911156690912224e-01 9.578363021832138058e-01 8.508207331618592439e-01
0.000000000000000000e+00 -1.364901537465446563e+04 8.523254996168294628e-02 4.369665775482020065e-01 3.052446969199926752e-01 6.939698118714024977e-01
0.000000000000000000e+00 -1.363294255750992852e+04 1.955779909833829100e-01 8.938315026551945097e-01 6.093228817787821328e-02 4.041529387280942132e-01
0.000000000000000000e+00 -1.329792127684824663e+04 1.361445740799989146e-01 1.900073322330783077e-01 2.042440593067803567e-01 4.448682292799602811e-01
0.000000000000000000e+00 -1.325046558580323290e+04 1.455941484513202377e-01 6.403959579942054559e-01 8.085683195819048930e-01 3.036737698502878224e-02
