weight logl sigma l a b
0.000000000000000000e+00 -2.200326814382374505e+04 4.381345026209526594e-02 1.384294318871683771e+01 1.708835971243843899e-02 8.028903753817626665e-01
0.000000000000000000e+00 -2.129341878862730664e+04 1.491054737823002130e-01 2.603699267603123424e+00 3.978178479580556093e-02 1.807931535162731418e+00
0.000000000000000000e+00 -2.108286801915162505e+04 1.544932041237820908e-01 1.673822688979836570e+01 -4.320373966746771099e-02 -5.427057758032929335e-01
0.000000000000000000e+00 -2.101700667068382609e+04 5.986623727017326146e-02 1.124176917974823997e+00 4.081729366788647284e-02 -7.149008475442384380e-01
0.000000000000000000e+00 -2.062898765535701023e+04 4.793793198733642402e-02 1.322517706165210960e+01 -2.295929199420433664e-03 -7.779564127830602693e-01
0.000000000000000000e+00 -2.045455304367035205e+04 1.631263202883523888e-01 1.885660229211405436e+01 -4.209823155276028184e-02 -9.031962299383717863e-01
0.000000000000000000e+00 -1.997758062701923700e+04 8.220862616329116523e-02 1.853252611620984780e+01 2.215500477218150521e-02 1.199076221228216443e+00
0.000000000000000000e+00 -1.997276176690209468e+04 1.386910834753726229e-01 6.332650616692482970e+00 -3.121154402337224243e-02 -1.071551580681043170e+00
0.000000000000000000e+00 -1.965159396673408264e+04 1.084112043830002259e-01 1.670213311367575315e+01 2.159186654663726446e-03 1.997766130235994364e+00
0.000000000000000000e+00 -1.956150631650899595e+04 1.486953335514750174e-01 1.904999395992943789e+01 -1.860027662471746418e-02 -1.925789836779272957e+00
0.000000000000000000e+00 -1.946838685624325080e+04 2.459724636628923822e-02 1.002886654321383730e+01 -7.510993809934307652e-03 1.091670701436040503e-01
0.000000000000000000e+00 -1.930081661505804368e+04 1.699405474889406076e-01 3.877136251909993891e+00 -4.596076834429352331e-02 1.222227481627065071e+00
0.000000000000000000e+00 -1.909945013563234534e+04 9.660407921566704914e-02 1.027870017805616598e+01 4.043429942226856033e-02 3.108439822269790653e-01
0.000000000000000000e+00 -1.874142800973371413e+04 1.632259038341639101e-01 1.770374810532855747e+01 -4.579653201953721997e-02 1.760228577701532515e-01
0.000000000000000000e+00 -1.867806426891059527e+04 1.143676732239069516e-01 1.980996111538498283e+01 4.439899947221408183e-02 -1.307838233504700298e+00
0.000000000000000000e+00 -1.847100930342594074e+04 2.062615711900250837e-03 1.127664533665153357e+01 -2.013451199397858771e-04 -1.640723157206842586e-01
0.000000000000000000e+00 -1.829999014453256677e+04 1.114009941104429080e-01 1.121294167060504776e+01 3.437566720228908690e-02 1.082045211391587713e+00
0.000000000000000000e+00 -1.805874848010185815e+04 1.436851037458930502e-01 1.650032873618490825e+01 -3.548511056164585509e-02 1.356445936584264711e+00
0.000000000000000000e+00 -1.800735921466244690e+04 9.360340596108573941e-02 2.646389605523551403e+00 5.843288686175715507e-03 -1.654274995054961117e+00
0.000000000000000000e+00 -1.794292995065901778e+04 7.062309277388356676e-02 5.620087465367246793e+00 3.595585536903277146e-02 -1.016517746729864502e+00
0.000000000000000000e+00 -1.789134899760104599e+04 1.629887420112673402e-01 1.516970219258173458e+01 4.915756038094433455e-02 1.247946735365474069e+00
0.000000000000000000e+00 -1.744928925497836826e+04 1.756193963151716497e-01 1.905856263501559766e+01 -4.693229092856367191e-02 2.277132897642397680e-02
