sigma l c d e
1.071849765595267179e-01 9.773243341067552326e-01 2.279325519539530109e-01 2.110614014989568160e-02 -3.693595571409328260e-01
1.067799246711882144e-01 9.202189928913089290e-01 2.576010948980835824e-01 2.078344841068853477e-02 -4.351416170379521775e-01
9.966238246607203588e-02 8.695900935205185256e-01 2.114598543287644627e-01 2.318123834335792527e-02 -3.806717658892095901e-01
1.080511329196526121e-01 9.803354325616315812e-01 2.332964123100713660e-01 2.145170353688459833e-02 -3.892649149458440316e-01
1.058920137456065835e-01 8.743293439727470862e-01 2.029525905811795372e-01 2.288845238815099756e-02 -3.911780812956696662e-01
9.689058819719655047e-02 9.456991669623338037e-01 3.051519184688264996e-01 1.908782942758649112e-02 -4.526095259177397301e-01
1.150332427634553345e-01 1.146045769417581850e+00 1.937869077009528596e-01 2.407738121830208314e-02 -3.597414250720257778e-01
9.767195522196496504e-02 9.862498606282456004e-01 1.951485941123098922e-01 2.315620830063712388e-02 -3.604766017174719783e-01
1.003560370448071948e-01 9.060507638919218509e-01 1.755241096972863790e-01 2.521369300206526345e-02 -3.520992690081968801e-01
9.472874939785272397e-02 9.794082254929115106e-01 2.216653988869095038e-01 2.240115401860628963e-02 -3.893898056253847217e-01
1.164068771428854038e-01 9.932730607176243343e-01 2.352939401087650317e-01 2.205568802402214576e-02 -3.989218106657372864e-01
9.982992772199926479e-02 8.903768493775623405e-01 2.046476440936353391e-01 2.367604030353848144e-02 -3.568239243187536491e-01
1.051119699662370899e-01 1.058103756910642623e+00 1.886268462269922175e-01 2.474506666092055399e-02 -3.938509605448518025e-01
1.020136932794795809e-01 8.667099611110615776e-01 2.247293323390633368e-01 2.230788466348780641e-02 -3.900915375276388097e-01
1.001669624314803914e-01 8.585238543240537590e-01 2.146384867336332825e-01 2.220017895307308670e-02 -3.623232410275162296e-01
9.180607450313747753e-02 1.020937853713041132e+00 1.900183558655750282e-01 2.418186945587908268e-02 -3.665371071117762281e-01
9.211250916345067874e-02 1.093965055870840253e+00 3.022402669797095154e-01 1.926700112786901981e-02 -4.755911324772618132e-01
1.233373415896262537e-01 8.908981245834511897e-01 1.762011813034785046e-01 2.494102161220024608e-02 -3.410987750014685682e-01
1.059614761796521948e-01 9.016710458934945605e-01 2.228381900941374116e-01 2.221047354526252057e-02 -3.787028880361840155e-01
1.150884929567076859e-01 1.006145725780808853e+00 1.678834917327547416e-01 2.576004172286757224e-02 -3.367512454845537073e-01
9.618791733560230761e-02 9.930886229206405957e-01 2.474100475607929894e-01 2.068740059928141778e-02 -4.057816557533536761e-01
1.002889330274839008e-01 9.705276852002658883e-01 1.925991597849654458e-01 2.405567703425232073e-02 -3.849165765084631152e-01
1.055159408692777634e-01 8.597620853906057237e-01 1.917373859145798942e-01 2.421447696011270675e-02 -3.928094958954451155e-01
1.045385399651355407e-01 1.019651644031358995e+00 1.830121472185870513e-01 2.428835431386602156e-02 -3.543484799498546334e-01
9.484298591886168583e-02 1.185269418500648930e+00 2.295711939922593370e-01 2.222504829284730268e-02 -3.944490098571447056e-01
9.996444676736168655e-02 9.304032559534216595e-01 1.758527932074385181e-01 2.520935105235599244e-02 -3.514557859411665541e-01
1.104996566741893588e-01 9.945928132031467417e-01 2.148592571364784654e-01 2.278490140159630459e-02 -3.972357151638662431e-01
1.058516636813355005e-01 9.439249524146751114e-01 2.293974413243915489e-01 2.218127938055458256e-02 -3.839056482693428141e-01
9.396015478445070290e-02 9.215053351103995594e-01 2.326724046160506543e-01 2.162757514142892371e-02 -3.993309804180009692e-01
1.030595044284226269e-01 9.010895053856751158e-01 2.140545933749147256e-01 2.215644361095456955e-02 -3.551611253708187865e-01
9.464155254906012060e-02 1.051708559798471221e+00 2.149856737405257956e-01 2.194252204338956527e-02 -3.607270692060946526e-01
1.013823193199167860e-01 8.769916855378714349e-01 2.110148442233299448e-01 2.286237250262182150e-02 -3.920905658484008516e-01
1.180170241862732311e-01 8.394436547826438222e-01 1.852446433686343319e-01 2.443494291708100605e-02 -3.447732378848005208e-01
9.950272224614910288e-02 9.046189512720363979e-01 1.633500370643474753e-01 2.530076694224574207e-02 -3.378573596923761801e-01
9.647067461395147925e-02 8.700600066272284883e-01 2.241678934493669395e-01 2.261335177285690723e-02 -4.036879670341017023e-01
1.116919299549773148e-01 8.690166183058765093e-01 1.989262290805751121e-01 2.358844307804050869e-02 -3.714772123249393543e-01
1.075933559624013408e-01 1.003971539476818275e+00 2.119791882073849276e-01 2.324736573639912471e-02 -3.553139671610232586e-01
9.115088163461967929e-02 1.022137300049478892e+00 2.230371378738853494e-01 2.227778429937023186e-02 -4.017075415742754618e-01
1.034992077798097820e-01 8.751863719042907164e-01 2.366254321405971695e-01 2.174344786552863742e-02 -4.059449407131362486e-01
8.950205324057650125e-02 1.171375828064249003e+00 1.838238541680623506e-01 2.474492854352482868e-02 -3.597611113663129467e-01
