weight logl c d e
0.000000000000000000e+00 -6.170108860142347686e+35 -7.623203919140895124e-01 4.378907790399364508e-01 -4.764364123261088935e-01
0.000000000000000000e+00 -6.052442250696734124e+35 9.085364015413155414e-03 4.891030932963348898e-01 5.894632733499671762e-01
0.000000000000000000e+00 -5.375584937974895772e+35 9.409599905370267248e-01 4.346504204471409727e-01 6.982290316273858100e-01
0.000000000000000000e+00 -3.877998115872706737e+35 6.028099084506655103e-02 4.646076839892251953e-01 -1.498914931817676433e-01
0.000000000000000000e+00 -2.969907553965026288e+35 1.478386928989718907e-01 4.526666035624234419e-01 -7.140867199993978787e-01
0.000000000000000000e+00 -2.607289640675629747e+35 -8.773961174684403730e-01 4.312661945310833911e-01 -4.922141247661850905e-01
0.000000000000000000e+00 -2.577691401169956147e+35 8.532883883495048227e-01 4.315230942848616857e-01 3.385228329459204488e-01
0.000000000000000000e+00 -2.186631337902082334e+35 5.846024901536215346e-01 4.349544111348248032e-01 -4.624329072723751821e-01
0.000000000000000000e+00 -1.644866235342368369e+35 -5.216833794011486169e-01 4.346241631508901415e-01 5.447659185606146259e-02
0.000000000000000000e+00 -1.630245905895052002e+35 -2.712029805379900793e-02 4.688413640684176431e-01 -8.204858779096950716e-01
0.000000000000000000e+00 -1.471375227164672755e+35 8.041247866963219249e-01 4.289600277358582847e-01 1.059368722457687539e-01
0.000000000000000000e+00 -1.450764496556042690e+35 -6.680533199332370220e-01 4.310282278022866675e-01 -1.750316457317397933e-01
0.000000000000000000e+00 -1.435822730572392266e+35 -5.088726634616840272e-01 4.341244125149303357e-01 -5.911912866917765630e-01
0.000000000000000000e+00 -1.388832063075289869e+35 8.323814674110274758e-02 4.549193395526433537e-01 9.146234250081179962e-01
0.000000000000000000e+00 -1.319540701502853786e+35 9.039730768890805734e-01 4.269709223324073544e-01 4.636899293479064266e-01
0.000000000000000000e+00 -1.100034854638669918e+35 6.080203800242598433e-01 4.305154634987661266e-01 -9.861290574544077092e-01
0.000000000000000000e+00 -1.016006130714647857e+35 5.222867213248316709e-01 4.318173450160806559e-01 6.142601399622802383e-01
0.000000000000000000e+00 -9.834192879499591846e+34 6.976080640781860964e-01 4.282715577780858429e-01 7.050968400735888597e-01
0.000000000000000000e+00 -7.113234622716574903e+34 -6.169307308093163744e-01 4.278186110636469364e-01 -6.243178763048062851e-01
0.000000000000000000e+00 -7.020550034968395017e+34 2.393450366668095075e-01 4.387224559372478461e-01 -5.997125965108107692e-02
0.000000000000000000e+00 -5.989453023156133282e+34 8.606182612834145651e-01 4.229600608589190180e-01 -6.573920378220230454e-01
0.000000000000000000e+00 -5.984201691973739695e+34 7.937073032961650121e-02 4.505919580338503261e-01 4.104634491414620445e-01
0.000000000000000000e+00 -5.591844082031991081e+34 -9.236891273108045475e-01 4.217412221402290773e-01 5.133113558589952330e-01
0.000000000000000000e+00 -5.022614131127047372e+34 -5.606016384676937303e-01 4.269109565502084425e-01 -1.089280849961875575e-01
0.000000000000000000e+00 -3.929988768479922421e+34 -9.659879303176872600e-01 4.191761065717501955e-01 8.569727198107186528e-01
0.000000000000000000e+00 -3.886466830333195571e+34 -8.881583576140199554e-01 4.200860336389886651e-01 5.400629903846174695e-01
0.000000000000000000e+00 -3.275868984539692550e+34 -3.493663957268433595e-01 4.299172191326679493e-01 4.432664574633360388e-01
0.000000000000000000e+00 -2.413699037321546165e+34 -7.370790168014378363e-01 4.194860750921299286e-01 -3.948471033953171450e-02
0.000000000000000000e+00 -2.155405065394560733e+34 6.920675331976873235e-01 4.195605634831827691e-01 9.275548763437704292e-01
0.000000000000000000e+00 -2.112090128426032039e+34 1.751067673625601451e-01 4.353823051491120255e-01 -5.698067402745985444e-01
0.000000000000000000e+00 -1.989138745785843223e+34 -8.876722956478315663e-01 4.162069254839806387e-01 4.086997075395211176e-01
0.000000000000000000e+00 -1.725515670499208556e+34 -9.388647651629224988e-01 4.147315363718599990e-01 -3.544594625758252793e-01
0.000000000000000000e+00 -1.676777381510101463e+34 -8.668516547482918444e-01 4.154912755296557569e-01 7.811146027585980089e-01
0.000000000000000000e+00 -1.659942670940930815e+34 1.427667341173222137e-01 4.363532519021157130e-01 6.983176712020273680e-01
0.000000000000000000e+00 -1.330242468090276417e+34 -1.409560656479431628e-01 4.352175243702640084e-01 2.408206163216730644e-01
0.000000000000000000e+00 -1.276094559199618937e+34 -3.157584923663900867e-01 4.256230257503024195e-01 1.344161511635548756e-01
0.000000000000000000e+00 -1.224241419080143535e+34 6.065235314435677427e-01 4.178100049113859238e-01 -4.036845357961085234e-01
0.000000000000000000e+00 -1.189455336972359579e+34 -2.449171043016749039e-01 4.281619873520787212e-01 2.243410641583749587e-01
0.000000000000000000e+00 -1.150192079264082719e+34 -8.218169209854422341e-01 4.139234231316578083e-01 2.333449813570893649e-01
0.000000000000000000e+00 -9.853350713042937936e+33 1.982150628805474657e-01 4.295239507779184396e-01 1.117487708721902617e-01
0.000000000000000000e+00 -9.717726231191569063e+33 -4.568187220222550415e-01 4.197588392726377959e-01 -2.149505233496820100e-01
0.000000000000000000e+00 -8.500259370803556078e+33 -5.307617070947889815e-02 4.439454242216414048e-01 -9.172553039219022430e-01
0.000000000000000000e+00 -7.896143493032471367e+33 -6.245597069092614362e-01 4.149259618515306336e-01 7.630701521272722498e-01
0.000000000000000000e+00 -7.807254184319431502e+33 -9.124038967555136992e-02 4.371713579950043949e-01 1.015318104091917917e-01
0.000000000000000000e+00 -7.766595965321028449e+33 5.568738422538852539e-01 4.161609381986512424e-01 9.858783171079450458e-01
0.000000000000000000e+00 -7.607852338406402129e+33 -3.815589587507979275e-01 4.204274798842257410e-01 -3.139724475565857098e-01
0.000000000000000000e+00 -7.369619748799942392e+33 -5.723978269231415617e-01 4.155375392541804103e-01 3.002431156828797576e-01
0.000000000000000000e+00 -7.181652737464750488e+33 -5.293148309089137360e-01 4.162955762561398321e-01 -6.151068058134814276e-01
0.000000000000000000e+00 -7.085843473602042438e+33 4.952222129057062272e-01 4.169901168587858420e-01 3.759281902771838269e-02
0.000000000000000000e+00 -6.780943381047592267e+33 3.613755292154070542e-01 4.203905350941839481e-01 -3.427945764175595045e-01
0.000000000000000000e+00 -5.998545632348925278e+33 7.719430927297210587e-02 4.375818561844816990e-01 6.907059857274713277e-01
0.000000000000000000e+00 -5.664943642848669503e+33 9.966607122619741688e-02 4.342875303045386493e-01 -5.253940546981399340e-01
0.000000000000000000e+00 -5.502799589992922832e+33 5.360718155755552772e-01 4.146036255760865985e-01 -3.253030380519086329e-01
