c d e
2.553231552953922900e-01 2.106270511848773452e-02 -4.429465790495378252e-01
2.212571049815428292e-01 2.270674766232669631e-02 -4.106283232263950866e-01
2.353121191517884014e-01 2.183362564470791439e-02 -4.166422934272701051e-01
2.414982050712644046e-01 2.154262251544651965e-02 -4.280063606592900971e-01
2.492546153403389919e-01 2.141224938424371796e-02 -4.381054659737823043e-01
2.276752242676407523e-01 2.224559939096622252e-02 -4.124483732126127400e-01
2.539262974164739894e-01 2.115100069111455067e-02 -4.379647429737525410e-01
2.118366632612074252e-01 2.309005484044714465e-02 -3.940693812006037522e-01
2.164539514451322422e-01 2.288734588182786411e-02 -4.048749781439811013e-01
2.095957878213832171e-01 2.311273268567551678e-02 -3.947956454010080884e-01
2.174168708384225379e-01 2.262487027661407371e-02 -3.954982728328370056e-01
2.361364810470898412e-01 2.193693246863103949e-02 -4.241321708331378115e-01
2.187121331790717882e-01 2.256667738822073707e-02 -3.995037668899203975e-01
2.175708608701769631e-01 2.271722744932070173e-02 -3.939983354121019410e-01
2.149877586784820771e-01 2.289820131888406496e-02 -3.974120476140903246e-01
2.432791577227153557e-01 2.163683529756316518e-02 -4.301681936260692840e-01
2.360365016183734177e-01 2.183449770391181904e-02 -4.216436996024679473e-01
2.229564153770875468e-01 2.237193395269683124e-02 -4.064984949946783832e-01
2.150103040466162518e-01 2.272307571538612070e-02 -3.885961243142556087e-01
2.214275391247557678e-01 2.252061481000747906e-02 -4.023677944294796749e-01
2.179019047419634703e-01 2.283421901414367863e-02 -4.087925129591316598e-01
2.230687970747569082e-01 2.255090636818107147e-02 -4.086831209888274197e-01
2.271071317733979189e-01 2.236718816005515281e-02 -4.164488431135875413e-01
2.148613907428580383e-01 2.296417283850453461e-02 -4.035108259884340187e-01
2.103053114167334758e-01 2.309470791256010638e-02 -3.926925241255460053e-01
2.304009607054857689e-01 2.222553015524695100e-02 -4.236731095091406107e-01
2.111748927814836030e-01 2.303859805075554948e-02 -3.892050962815655213e-01
2.254934024145331950e-01 2.239016667103088318e-02 -4.066788393019522552e-01
2.435455580597223335e-01 2.151909823155822438e-02 -4.232186883586209758e-01
2.239560518409191570e-01 2.248583850549342247e-02 -4.110993122750532525e-01
2.303368538008314648e-01 2.211944587015068908e-02 -4.152057847791303935e-01
2.425676490147228304e-01 2.165957231972981401e-02 -4.332764354128807449e-01
2.289606618724346898e-01 2.219506243181460989e-02 -4.112272107047960645e-01
2.310427845682385684e-01 2.219098129907193587e-02 -4.187759040376404229e-01
2.114626566418131848e-01 2.292072681150538263e-02 -3.824287779974102630e-01
2.419765542504919154e-01 2.160287283281528761e-02 -4.282523570665158763e-01
2.221380917493704921e-01 2.236971610912325339e-02 -4.034388855679297281e-01
2.084654728778732036e-01 2.322367398940527669e-02 -3.882096080123318416e-01
2.192375190744342284e-01 2.253878560877428661e-02 -3.947480279506704326e-01
2.410004923379229780e-01 2.162795576851419058e-02 -4.224699673557691382e-01
2.529981071891878042e-01 2.116682363094563035e-02 -4.354536912002988647e-01
2.341433121443166065e-01 2.206531793967940816e-02 -4.271124565138650908e-01
2.167576944978581999e-01 2.276858309269954445e-02 -4.012518273923736389e-01
2.392383264296038536e-01 2.172180902511231318e-02 -4.227534418051778209e-01
