weight logl c d e
0.000000000000000000e+00 -1.547619315928175770e+38 6.765065712539014564e-01 9.576437208057158035e-01 6.154104367233550477e-01
0.000000000000000000e+00 -1.175871311587638830e+38 1.026826513969786303e-01 9.356650709627862827e-01 7.036724950778102672e-01
0.000000000000000000e+00 -1.165583042940104002e+38 4.149695341164267859e-01 9.712764131816036262e-01 1.971234138049802187e-01
0.000000000000000000e+00 -1.021030576925269447e+38 1.167161737542623534e-01 9.348624961759611773e-01 4.306527336255777660e-01
0.000000000000000000e+00 -9.857818272984411633e+37 6.017733611155062778e-01 9.651734935509095337e-01 6.819837385388460849e-01
0.000000000000000000e+00 -8.728967134409367783e+37 9.411483124512302068e-01 9.297885750287145923e-01 9.513172266979013081e-01
0.000000000000000000e+00 -8.409995413171549412e+37 3.063390408061259507e-01 9.484313965135998670e-01 2.875502432650508533e-01
0.000000000000000000e+00 -8.170113692890888361e+37 7.226429025385656679e-01 9.448654194971228826e-01 9.079282123349894373e-01
0.000000000000000000e+00 -7.989764663311370505e+37 6.926775704928694877e-01 9.479555926191456372e-01 3.952555367571525258e-01
0.000000000000000000e+00 -7.242728800169091428e+37 5.201640834631474641e-01 9.990908528209188066e-01 3.380925230320397379e-02
0.000000000000000000e+00 -7.106681081148382521e+37 6.394766358772053794e-01 9.540840972358264338e-01 2.830976964051856726e-01
0.000000000000000000e+00 -7.034437039888600550e+37 3.953223087641241085e-01 9.606138635429148920e-01 2.854570447584570125e-02
0.000000000000000000e+00 -6.833646777575049519e+37 9.658039699886935558e-01 9.256922659076979309e-01 6.943929641137046582e-01
0.000000000000000000e+00 -6.773617075790757500e+37 6.476252252335723547e-01 9.522128792928864494e-01 4.445416930279485479e-01
0.000000000000000000e+00 -6.089405571212866291e+37 8.832344598001540259e-02 9.272187020485989084e-01 3.607484677024318520e-01
0.000000000000000000e+00 -5.926951617763491547e+37 9.672044793089643600e-01 9.239733810370328593e-01 1.190727151220615232e-01
0.000000000000000000e+00 -5.046159567978538987e+37 4.268210598236532594e-02 9.226049203227449924e-01 4.903726474852607708e-01
0.000000000000000000e+00 -4.827392474423345491e+37 7.505117933737450731e-01 9.360377605690901603e-01 4.218954749916976610e-01
0.000000000000000000e+00 -4.747144008533133563e+37 1.102589930881701097e-01 9.256024671188882724e-01 1.316839499395117130e-01
0.000000000000000000e+00 -4.596798042298247342e+37 3.615510597398942094e-01 9.492092297512805255e-01 2.717920595928235983e-03
0.000000000000000000e+00 -4.395776970542471739e+37 3.743723030032043431e-01 9.509424836081366017e-01 6.843174876734950951e-01
0.000000000000000000e+00 -4.124573059152600911e+37 9.832875384589880863e-01 9.189882258005651616e-01 9.399155209266394362e-01
0.000000000000000000e+00 -3.753858186808269915e+37 2.234270425701092577e-01 9.308307031299613010e-01 5.010223675932308218e-01
0.000000000000000000e+00 -3.649951067771346332e+37 1.991249616845892634e-01 9.285539793688233345e-01 8.962457138621326980e-02
0.000000000000000000e+00 -3.625528946272479245e+37 2.096410253696351367e-01 9.293005764517943135e-01 3.689026320942687676e-01
0.000000000000000000e+00 -3.426755848690913821e+37 4.303645638930497785e-02 9.181384927628006842e-01 3.817882138524788527e-01
0.000000000000000000e+00 -3.373807738322839464e+37 2.916692618910926571e-01 9.361593277439517191e-01 1.669346756508089946e-01
0.000000000000000000e+00 -2.636505074016372902e+37 6.251402582327784119e-01 9.451114436269864028e-01 4.163543533762660287e-01
0.000000000000000000e+00 -2.616174391662110358e+37 2.462256291653586171e-01 9.286408532010039796e-01 2.607895199714960199e-02
0.000000000000000000e+00 -2.530908943605126847e+37 5.868479192458920801e-01 9.530998490660993472e-01 1.608297108737000158e-03
0.000000000000000000e+00 -2.517769371505061414e+37 3.295199520267635407e-01 9.374145076954080169e-01 8.362198505774176560e-01
0.000000000000000000e+00 -2.044232705044885261e+37 5.557066870800084768e-01 9.609123844520539581e-01 5.095965347412038104e-01
0.000000000000000000e+00 -1.817989064187671987e+37 4.409964266019698043e-01 9.582221980785925464e-01 6.825754485725898935e-01
0.000000000000000000e+00 -1.605359057555974676e+37 8.837057921491244805e-01 9.134012270937545974e-01 5.404358817793963876e-01
0.000000000000000000e+00 -1.506009539965173590e+37 9.297854712501218977e-02 9.112937114387387183e-01 4.490649531782084924e-01
0.000000000000000000e+00 -1.202725383419785355e+37 6.739764997241347588e-01 9.283851258169401044e-01 7.280233317066000520e-01
0.000000000000000000e+00 -1.160090013111987622e+37 9.028755824896178561e-01 9.085067164357902847e-01 9.661950024714410779e-01
0.000000000000000000e+00 -1.154010340599916451e+37 1.616195062216021494e-01 9.124892926152028405e-01 4.656145804550428924e-01
0.000000000000000000e+00 -9.664844854946141400e+36 4.903522165034844837e-01 9.928426757881425591e-01 2.554715722921969689e-01
0.000000000000000000e+00 -7.760633099313748856e+36 3.167082484381562590e-01 9.221003190888492629e-01 5.309678123249684800e-01
0.000000000000000000e+00 -6.539939382787651113e+36 8.411353612224150567e-01 9.057199807021601989e-01 9.912706212489642565e-01
0.000000000000000000e+00 -6.265240004465740507e+36 9.516672115196154191e-01 8.987167456307192381e-01 4.754936508099842918e-01
0.000000000000000000e+00 -6.037399650119075264e+36 6.148647134221595367e-01 9.300202129368584369e-01 1.563788495034338366e-01
0.000000000000000000e+00 -6.002939620568086850e+36 1.008656976866777466e-01 9.010873179465392901e-01 4.632586711151204240e-01
0.000000000000000000e+00 -5.924133773887228465e+36 9.920393224878895078e-01 8.960832002395104912e-01 7.180136089569982838e-01
0.000000000000000000e+00 -5.702428643831128876e+36 1.046378997469842309e-01 9.007121941461869730e-01 3.458569514333779127e-01
0.000000000000000000e+00 -5.656595385420364145e+36 4.536998782195491575e-01 9.503164344034696898e-01 8.237626982709861378e-01
0.000000000000000000e+00 -5.232369355958867676e+36 6.325785578614026017e-01 9.250387898908145612e-01 9.970230040338029509e-01
0.000000000000000000e+00 -3.961170565524742194e+36 3.079246577755814229e-01 9.132225799911407593e-01 7.874543601561978523e-01
0.000000000000000000e+00 -3.716684764969627331e+36 8.154459906253946899e-01 9.009853669104560536e-01 3.638705271582776124e-01
0.000000000000000000e+00 -3.621928335525254835e+36 2.135507482096706822e-01 9.029212275691931300e-01 6.260868930225342854e-01
0.000000000000000000e+00 -3.324750648347090545e+36 4.833526659326042862e-01 9.678548139444136389e-01 4.091857320403231579e-01
0.000000000000000000e+00 -3.055386037672971763e+36 8.755492726960732996e-01 8.946714986494376243e-01 1.220981317103702057e-01
0.000000000000000000e+00 -2.997739517100141589e+36 5.348644489718512585e-02 8.904381250713779838e-01 1.264105696965622805e-01
0.000000000000000000e+00 -2.807364651947842375e+36 5.469307167922754509e-02 8.897402763192443498e-01 4.019022719093530149e-01
0.000000000000000000e+00 -2.752426286457017902e+36 7.699556165230346805e-01 9.011141414588056398e-01 2.074658427948873340e-01
0.000000000000000000e+00 -2.432519262098693815e+36 8.412560116715753766e-01 8.942488186486194923e-01 2.782826574248495888e-01
0.000000000000000000e+00 -1.920557022010692458e+36 1.425848155452252852e-01 8.904369669178849866e-01 2.838801715336185527e-01
0.000000000000000000e+00 -1.857298500516230641e+36 6.063470034300825207e-01 9.181467943213847960e-01 2.909884463776165608e-01
0.000000000000000000e+00 -1.709882624416581305e+36 1.035136688442788166e-01 8.866847789242289224e-01 6.507738657116338699e-01
0.000000000000000000e+00 -1.622765545882141963e+36 1.743186191787257089e-01 8.906395219920275608e-01 7.433655211357304005e-01
0.000000000000000000e+00 -1.609702300273822358e+36 9.808185423912918477e-01 8.815134060732781052e-01 9.159949237629544383e-01
0.000000000000000000e+00 -1.534630334901558127e+36 9.116554939848526828e-01 8.845606676735927598e-01 7.677374182605334330e-02
0.000000000000000000e+00 -1.502110411240979524e+36 2.051610072545062557e-03 8.798996634621931712e-01 3.773313023526645438e-01
0.000000000000000000e+00 -1.266945641960913793e+36 8.807640637928365601e-01 8.841471800627401789e-01 2.550408152054546296e-01
0.000000000000000000e+00 -1.142358230142687608e+36 2.062056199090833708e-02 8.776067273090166765e-01 4.540457045299678418e-01
0.000000000000000000e+00 -1.106912977377558732e+36 6.644235475649981071e-01 9.020496545393066334e-01 9.177435112503737891e-01
0.000000000000000000e+00 -9.789505040511872260e+35 2.187849852463185085e-01 8.881842194837454851e-01 4.301566930771671959e-01
