weight logl a b
0.000000000000000000e+00 -4.382045902664858731e+05 -2.590210094578983269e-02 -1.498859377238848101e+00
0.000000000000000000e+00 -4.295750583803576883e+05 -2.446606992596836103e-02 -1.549455824368117796e+00
0.000000000000000000e+00 -4.294184337888071896e+05 -1.953822774209667060e-02 -1.836212221710781467e+00
0.000000000000000000e+00 -4.283966391246333951e+05 -2.431654154570755955e-02 -1.553517363086835523e+00
0.000000000000000000e+00 -4.267718558952588355e+05 -3.380301673592334133e-02 -9.566266174877893214e-01
0.000000000000000000e+00 -4.247343438706443994e+05 -4.090353628913495632e-02 -4.685662280000979507e-01
0.000000000000000000e+00 -4.240653337585623958e+05 -2.678192816531883846e-02 -1.387016418683547858e+00
0.000000000000000000e+00 -4.229053687914164620e+05 3.964208997858868766e-02 1.634629458457437678e+00
0.000000000000000000e+00 -4.170515978852854460e+05 -2.061661569609424260e-02 -1.724054814576182704e+00
0.000000000000000000e+00 -4.152763643679905799e+05 -1.896212116818453419e-02 -1.811826950836746164e+00
0.000000000000000000e+00 -4.133802801572213066e+05 4.353306899106577921e-02 1.368946938396200519e+00
0.000000000000000000e+00 -4.125138562677621376e+05 -3.442279487221275996e-02 -8.528273185698060921e-01
0.000000000000000000e+00 -4.102641344863822451e+05 -4.649413746246808948e-02 8.374796801548622938e-03
0.000000000000000000e+00 -4.038940033949835342e+05 -3.165030136771205399e-02 -9.948618764701295802e-01
0.000000000000000000e+00 -4.038934446013215929e+05 -2.023263893652186424e-02 -1.691845966080230745e+00
0.000000000000000000e+00 -4.035179412084259093e+05 -3.590035612852581631e-02 -7.134417247179425381e-01
0.000000000000000000e+00 -4.031451339783270960e+05 -3.287947892969940444e-02 -9.118278852383698840e-01
0.000000000000000000e+00 -3.935404930063366774e+05 -3.660352853035501314e-02 -6.191445301054132599e-01
0.000000000000000000e+00 -3.929279683961384580e+05 -2.896273441344006383e-02 -1.117258524602733782e+00
0.000000000000000000e+00 -3.925998524894443108e+05 3.662041476470836998e-02 1.681336708754693099e+00
0.000000000000000000e+00 -3.882850855779828853e+05 -4.618987367031145846e-02 1.000631816548729347e-01
0.000000000000000000e+00 -3.857975055969433743e+05 -4.887516925463978451e-02 3.243307981454064404e-01
0.000000000000000000e+00 -3.811060576036302373e+05 -2.356656637322152026e-02 -1.397560575122485549e+00
0.000000000000000000e+00 -3.810836665671357187e+05 4.987428516055561478e-02 8.379295673475013473e-01
0.000000000000000000e+00 -3.788538213802977698e+05 -3.036071208866855317e-02 -9.643413279137287297e-01
0.000000000000000000e+00 -3.756602922931516077e+05 -4.157814541741339243e-02 -1.795175917265763310e-01
0.000000000000000000e+00 -3.735648763018606114e+05 -3.758539243155846477e-02 -4.545093258645067635e-01
0.000000000000000000e+00 -3.735570383453679387e+05 -3.185363483472747337e-02 -8.425801073676231212e-01
0.000000000000000000e+00 -3.734706144708931097e+05 -4.501066996000407938e-02 8.939721612450091115e-02
0.000000000000000000e+00 -3.729036369546941714e+05 -2.369318942897439412e-02 -1.353652546274941582e+00
0.000000000000000000e+00 -3.701040251336157089e+05 -4.967198919096419557e-02 4.796062270117058546e-01
0.000000000000000000e+00 -3.659575125204410870e+05 -2.047490921288844939e-02 -1.514865009760627323e+00
0.000000000000000000e+00 -3.656389151943848119e+05 -2.818901876469680559e-02 -1.042085565059934549e+00
0.000000000000000000e+00 -3.656047082159058773e+05 -2.682321386537414240e-02 -1.128023542878555219e+00
0.000000000000000000e+00 -3.625376524428674020e+05 -4.884433851581070768e-02 4.562981286037448569e-01
0.000000000000000000e+00 -3.625183455851121689e+05 -1.604009339766743203e-02 -1.755514317635807231e+00
0.000000000000000000e+00 -3.612677835580203682e+05 3.775231123311260928e-02 1.483164145470936557e+00
0.000000000000000000e+00 -3.610225793174147257e+05 -4.802235284942597826e-02 3.979405031414371408e-01
0.000000000000000000e+00 -3.593589932930168579e+05 4.805017494210378493e-02 8.536076928529090502e-01
0.000000000000000000e+00 -3.588588241367473383e+05 -1.763715622788454562e-02 -1.648506346574210024e+00
0.000000000000000000e+00 -3.587731859239047626e+05 -3.022475174379612994e-02 -8.789304178741157436e-01
0.000000000000000000e+00 -3.573502001197136706e+05 -3.470579887011283893e-02 -5.730010715911517671e-01
0.000000000000000000e+00 -3.521165539621799835e+05 4.339166692812082560e-02 1.109306966297944896e+00
0.000000000000000000e+00 -3.520406780406851321e+05 -2.939600404385071114e-02 -9.004958589634974864e-01
0.000000000000000000e+00 -3.512060735221922514e+05 2.973435306677950363e-02 1.882949528942265083e+00
0.000000000000000000e+00 -3.498978342951885425e+05 -1.091584533988659844e-02 -1.983949209921237689e+00
0.000000000000000000e+00 -3.482266802464813227e+05 -2.458481830762160314e-02 -1.186696226285754552e+00
0.000000000000000000e+00 -3.476446616997998208e+05 -4.004694472474874811e-02 -1.437487922056099876e-01
0.000000000000000000e+00 -3.448124961125120171e+05 -1.652744404568381315e-02 -1.649621807395436068e+00
0.000000000000000000e+00 -3.443334877790202154e+05 2.958309482747455144e-02 1.861195340063142911e+00
0.000000000000000000e+00 -3.426878668692035135e+05 -3.395571317900995811e-02 -5.504545524518165145e-01
0.000000000000000000e+00 -3.400996557716015959e+05 -4.005939732254851920e-02 -1.016239554236877396e-01
0.000000000000000000e+00 -3.391568143932594103e+05 -1.784974088696904965e-02 -1.547947047187536285e+00
0.000000000000000000e+00 -3.383819457783856196e+05 -3.495824628972293152e-02 -4.589943222318297877e-01
0.000000000000000000e+00 -3.344922004499824834e+05 4.989667031963762600e-02 6.143764354603651334e-01
0.000000000000000000e+00 -3.337674911726608407e+05 -1.933192179066893848e-02 -1.436493717088541011e+00
