a b
1.016972381804311099e-02 -8.812977368013252821e-02
1.009487491790791308e-02 -8.936812597640209077e-02
1.027574338458288328e-02 -9.719893187548356295e-02
1.004635187794242907e-02 -8.553016060749585314e-02
1.003038290302143976e-02 -8.812198076408161995e-02
1.013014316976221935e-02 -8.819614860937319278e-02
1.017809942216139213e-02 -9.421988860023589041e-02
1.032851473276079346e-02 -1.034987992339211349e-01
1.009842538906433745e-02 -9.179079942609624787e-02
1.014224455426164517e-02 -9.575398350678643311e-02
1.013361100852684660e-02 -9.188373876759858838e-02
1.014285302222123208e-02 -8.989064206217278752e-02
1.000812535973712863e-02 -8.445539686202141461e-02
9.965664643851943061e-03 -8.362545698632195545e-02
1.002239138996895151e-02 -9.726232788940114560e-02
1.017990590340561718e-02 -9.691818950874098171e-02
1.015910777765775125e-02 -9.181574968536754255e-02
1.015776447344156341e-02 -9.192680723454915714e-02
1.013833110568092277e-02 -9.350428536125399148e-02
1.023317321690512399e-02 -9.400097765441617348e-02
1.015398057843337754e-02 -9.107548040380009091e-02
1.005326921904257931e-02 -9.374449543916330008e-02
1.014121463853693422e-02 -9.359166074930969081e-02
1.011764305152688947e-02 -8.985999095821894933e-02
1.018865685735344945e-02 -8.797894476946011011e-02
9.973184102343678192e-03 -8.753940051048725302e-02
1.009970813195506384e-02 -9.236612202640892555e-02
1.018310540869105107e-02 -8.890795265609185982e-02
1.012225384849616688e-02 -9.785050909415926590e-02
1.003106623816048260e-02 -8.664223806028159558e-02
1.021459594353146816e-02 -9.129378167489710094e-02
1.004201296940517713e-02 -9.064900054718161293e-02
1.021442546556251829e-02 -9.171949190400452423e-02
1.000225022796872448e-02 -8.294311966267864378e-02
1.005697681693594470e-02 -8.619824726253777492e-02
1.023444995039677480e-02 -9.631481937058694598e-02
9.965664643851943061e-03 -8.362545698632195545e-02
1.027723052726421671e-02 -9.449663403246955085e-02
1.018019811199592090e-02 -9.360243216698571622e-02
1.007951884720663382e-02 -9.263984005659220422e-02
9.933102946742489170e-03 -7.869828793395594602e-02
1.011525616536065181e-02 -9.242242899003216827e-02
9.978382496392081136e-03 -8.334594189560728950e-02
9.838487186282239561e-03 -7.392100929190315028e-02
1.022756329160647015e-02 -9.044449408691312975e-02
1.021459594353146816e-02 -9.129378167489710094e-02
1.003177542935797251e-02 -9.335851098451874996e-02
1.023742301352760509e-02 -9.917076006337910421e-02
1.006303780504933659e-02 -8.341135620351391999e-02
