weight logl a b
0.000000000000000000e+00 -3.656389151943848119e+05 2.181098123530319510e-01 2.394786087350163628e-01
0.000000000000000000e+00 -3.656047082159058773e+05 2.317678613462585968e-01 2.179941142803611953e-01
0.000000000000000000e+00 -3.625376524428674020e+05 1.155661484189296484e-02 6.140745321509362142e-01
0.000000000000000000e+00 -3.625183455851121689e+05 3.395990660233256797e-01 6.112142059104819225e-02
0.000000000000000000e+00 -3.612677835580203682e+05 8.775231123311261205e-01 8.707910363677341392e-01
0.000000000000000000e+00 -3.610225793174147257e+05 1.977647150574024515e-02 5.994851257853592852e-01
0.000000000000000000e+00 -3.593589932930168579e+05 9.805017494210378493e-01 7.134019232132272625e-01
0.000000000000000000e+00 -3.588588241367473383e+05 3.236284377211545715e-01 8.787341335644749396e-02
0.000000000000000000e+00 -3.587731859239047626e+05 1.977524825620387006e-01 2.802673955314710641e-01
0.000000000000000000e+00 -3.573502001197136706e+05 1.529420112988716385e-01 3.567497321022120582e-01
0.000000000000000000e+00 -3.521165539621799835e+05 9.339166692812082005e-01 7.773267415744862241e-01
0.000000000000000000e+00 -3.520406780406851321e+05 2.060399595614929025e-01 2.748760352591256284e-01
0.000000000000000000e+00 -3.512060735221922514e+05 7.973435306677950640e-01 9.707373822355662707e-01
0.000000000000000000e+00 -3.498978342951885425e+05 3.908415466011340156e-01 4.012697519690577863e-03
0.000000000000000000e+00 -3.482266802464813227e+05 2.541518169237839686e-01 2.033259434285613620e-01
0.000000000000000000e+00 -3.476446616997998208e+05 9.953055275251254663e-02 4.640628019485975031e-01
0.000000000000000000e+00 -3.448124961125120171e+05 3.347255595431618547e-01 8.759454815114098292e-02
0.000000000000000000e+00 -3.443334877790202154e+05 7.958309482747454311e-01 9.652988350157857278e-01
0.000000000000000000e+00 -3.426878668692035135e+05 1.604428682099003911e-01 3.623863618870458714e-01
0.000000000000000000e+00 -3.400996557716015959e+05 9.940602677451482183e-02 4.745940111440780651e-01
0.000000000000000000e+00 -3.391568143932594103e+05 3.215025911303095452e-01 1.130132382031159288e-01
0.000000000000000000e+00 -3.383819457783856196e+05 1.504175371027707264e-01 3.852514194420425531e-01
0.000000000000000000e+00 -3.344922004499824834e+05 9.989667031963762600e-01 6.535941088650912834e-01
0.000000000000000000e+00 -3.337674911726608407e+05 3.066807820933106221e-01 1.408765707278647472e-01
0.000000000000000000e+00 -3.331799200440394343e+05 1.938045638415715199e-01 3.181294127808363958e-01
0.000000000000000000e+00 -3.314441092105831485e+05 3.949112290469505293e-01 1.884117020710862622e-02
0.000000000000000000e+00 -3.291823464534913655e+05 8.652470483665258838e-01 8.523577027609575696e-01
0.000000000000000000e+00 -3.286934727875660756e+05 2.426670754383589701e-01 2.445569384389186807e-01
0.000000000000000000e+00 -3.284668906650346471e+05 2.729374185069656233e-01 1.977866184785845860e-01
0.000000000000000000e+00 -3.271205821212359006e+05 1.857742934930005640e-01 3.392705799483947127e-01
0.000000000000000000e+00 -3.265339926773040206e+05 7.092090845718379555e-02 5.483562691814503065e-01
0.000000000000000000e+00 -3.262952061322412919e+05 3.168633728818860407e-01 1.346076522998574942e-01
0.000000000000000000e+00 -3.262868340595040354e+05 5.323979391594757526e-02 5.839469292549301915e-01
0.000000000000000000e+00 -3.260799330823431956e+05 1.121915717751476027e-02 6.724472559720934273e-01
0.000000000000000000e+00 -3.253351836178537342e+05 1.301762875822348731e-01 4.385648932893867480e-01
0.000000000000000000e+00 -3.230881005205383408e+05 9.394566487998237125e-01 7.345402726855221331e-01
0.000000000000000000e+00 -3.229242192121943808e+05 1.393241001662276490e-01 4.254196348030231389e-01
0.000000000000000000e+00 -3.225620038817944005e+05 1.323733232139036042e-01 4.384113360746331178e-01
0.000000000000000000e+00 -3.219294852842892869e+05 3.458262783395856799e-01 9.784395013880398118e-02
0.000000000000000000e+00 -3.218792760370045435e+05 8.994357144726381481e-01 7.938886543855915301e-01
0.000000000000000000e+00 -3.193793250572991674e+05 2.637852496569622618e-01 2.228737132933701348e-01
0.000000000000000000e+00 -3.188933793015043484e+05 9.269910925631472676e-01 7.486690139233780350e-01
0.000000000000000000e+00 -3.176223539991906728e+05 2.647710173957585900e-01 2.234959272335858005e-01
0.000000000000000000e+00 -3.175644750580574619e+05 9.973937787798921040e-01 6.347455961259216295e-01
0.000000000000000000e+00 -3.155492739863930037e+05 1.024825476703802307e-01 5.036724880080137856e-01
0.000000000000000000e+00 -3.131080111216760124e+05 9.615846145771678177e-02 5.193463749869665635e-01
0.000000000000000000e+00 -3.126297944801930571e+05 7.466002360663167581e-01 9.945317679123981680e-01
0.000000000000000000e+00 -3.123578943327195593e+05 3.995141195317319927e-01 3.425561085825612473e-02
0.000000000000000000e+00 -3.088165489755973103e+05 7.967930938971123922e-02 5.580113860453234098e-01
0.000000000000000000e+00 -3.084543317119691637e+05 8.157634089496874630e-01 8.978752975050739993e-01
0.000000000000000000e+00 -3.082448925662893453e+05 2.760404125492678107e-01 2.176272010975283111e-01
0.000000000000000000e+00 -3.077203096004428226e+05 8.126445294844004685e-01 9.013035625344653079e-01
0.000000000000000000e+00 -3.034087068332890631e+05 7.666354553216654377e-01 9.580135436956671580e-01
0.000000000000000000e+00 -3.033256703822044074e+05 2.615232596341875437e-01 2.463785080036411390e-01
0.000000000000000000e+00 -3.030535360956317745e+05 1.653267051630074036e-01 4.066183881208640383e-01
0.000000000000000000e+00 -3.029886218669063528e+05 1.460220396138693921e-01 4.411669749966861120e-01
0.000000000000000000e+00 -3.028270325622241944e+05 4.203811230280318778e-02 6.452147631187411525e-01
0.000000000000000000e+00 -3.024752636333185364e+05 2.086019688671062466e-01 3.331794908700153046e-01
0.000000000000000000e+00 -3.022482068744697026e+05 2.424607582445725829e-01 2.780293776503170999e-01
0.000000000000000000e+00 -3.021014835567551781e+05 2.052629376782661996e-01 3.392660931266205937e-01
0.000000000000000000e+00 -3.017721102390641463e+05 3.115862551585616425e-01 1.717409844079357262e-01
0.000000000000000000e+00 -3.015436007602006430e+05 4.072750522209893642e-01 3.631159485231549855e-02
0.000000000000000000e+00 -2.979856405979170813e+05 3.395513624162568300e-01 1.352770672435685828e-01
0.000000000000000000e+00 -2.977814163414465729e+05 1.171856819781139647e-01 5.021615588074170855e-01
0.000000000000000000e+00 -2.972796289781918749e+05 7.767410237874780021e-01 9.375506896916305788e-01
0.000000000000000000e+00 -2.968099020651385072e+05 3.154459507444321575e-01 1.721047304051005478e-01
0.000000000000000000e+00 -2.953818553380523808e+05 8.788216034407733135e-01 7.923947771410638774e-01
0.000000000000000000e+00 -2.950237243336031679e+05 9.912359383942670465e-02 5.411833791179987418e-01
0.000000000000000000e+00 -2.948260706631814828e+05 4.138942777357534908e-01 3.529618066853001945e-02
0.000000000000000000e+00 -2.924854221862820559e+05 1.323984278583425489e-01 4.814985204270016972e-01
0.000000000000000000e+00 -2.921407092664994416e+05 4.418974113547555760e-01 1.346125143661835999e-03
0.000000000000000000e+00 -2.917937695861741086e+05 7.767293473761363032e-01 9.311059589918401214e-01
0.000000000000000000e+00 -2.898105149619511794e+05 2.434062953593294498e-01 2.927440310654655375e-01
0.000000000000000000e+00 -2.887293266727521550e+05 4.920534527117637058e-02 6.543067760092484697e-01
0.000000000000000000e+00 -2.886512081080994685e+05 9.693912813373849469e-01 6.429537973131469464e-01
0.000000000000000000e+00 -2.866829793251762749e+05 7.328355919404198060e-01 9.821652818786864581e-01
0.000000000000000000e+00 -2.863728164089029888e+05 7.880450918175461172e-01 9.095002599706170088e-01
0.000000000000000000e+00 -2.863035710565397167e+05 8.134368628036983129e-01 8.747470339475852397e-01
0.000000000000000000e+00 -2.859456867660014541e+05 2.781536839643461434e-01 2.426195543666891385e-01
0.000000000000000000e+00 -2.850144660501417238e+05 1.199195890477340321e-01 5.165046823219601180e-01
